9	21	1
15	21	1
8	21	3
8	9	1
8	15	2
9	15	1
13	23	1
21	23	7
11	21	1
6	21	3
20	21	1
6	23	1
6	11	1
6	20	4
20	23	4
11	20	1
11	23	2
3	16	5
10	16	1
3	10	2
0	3	1
0	17	1
3	17	2
2	16	1
2	3	1
16	17	1
7	13	1
6	7	2
1	7	1
6	13	1
1	13	1
1	6	2
25	33	1
29	33	1
27	33	2
24	33	1
25	29	1
25	27	1
24	25	1
27	29	1
24	29	1
24	27	1
33	35	1
34	35	1
28	35	1
33	34	2
28	34	2
28	33	1
33	36	1
26	36	1
30	36	1
30	33	1
26	33	1
26	30	1
43	44	1
2	40	1
38	39	1
3	39	1
39	41	1
41	42	1
38	41	1
3	41	1
3	42	3
3	38	3
38	42	2
57	62	1
69	77	2
66	69	2
66	77	2
47	56	2
21	55	2
21	40	2
40	55	2
45	77	2
21	77	2
21	45	2
31	69	2
69	73	2
39	69	2
69	78	2
73	79	2
31	73	2
39	73	2
73	78	2
31	79	2
31	39	2
31	78	2
39	79	2
39	78	2
78	79	2
31	76	2
53	76	2
31	53	3
51	52	2
51	80	2
52	80	2
46	58	2
18	46	2
18	58	2
31	64	2
77	81	2
47	81	2
47	77	2
46	70	4
59	70	4
46	59	2
40	71	2
40	75	2
22	40	2
71	75	2
22	71	2
22	75	2
3	46	2
3	55	2
3	71	3
3	23	7
46	55	2
55	71	2
23	55	2
23	46	2
23	71	9
46	71	2
41	50	3
41	55	2
41	83	2
41	61	2
50	55	2
50	83	2
50	61	2
55	83	4
55	61	4
61	83	2
14	91	1
70	91	1
6	91	2
86	91	1
3	91	1
70	86	1
6	86	1
3	86	1
86	93	1
70	93	4
6	70	1
3	70	2
70	89	3
6	93	1
6	72	1
3	6	1
6	89	1
3	93	1
3	72	1
3	89	1
72	93	2
89	93	2
72	89	2
89	94	1
70	72	3
72	94	1
72	85	1
70	90	3
70	94	2
70	85	2
90	94	1
85	94	2
85	90	1
72	92	1
70	92	2
92	93	1
88	94	1
93	94	2
85	93	2
8	94	1
7	98	1
7	100	1
7	99	1
97	98	1
6	98	1
98	100	1
98	99	1
6	97	2
6	100	2
6	99	1
97	99	1
99	100	1
20	99	1
97	100	1
20	100	1
94	97	1
20	97	1
10	20	2
20	94	2
6	94	1
6	10	1
10	94	3
93	95	1
5	93	1
5	95	2
5	94	2
5	10	2
94	95	1
10	95	1
43	103	1
105	106	2
63	102	2
101	104	2
63	104	2
89	104	1
63	101	1
63	89	1
89	101	2
3	73	1
3	33	1
33	107	1
3	107	1
102	108	1
102	109	1
102	110	3
109	110	1
108	110	1
108	109	1
95	115	1
95	117	1
95	112	1
95	116	2
112	115	1
112	117	1
0	112	1
112	116	1
115	117	1
0	117	2
116	117	2
115	116	1
0	116	2
0	115	1
95	102	3
102	114	2
0	102	1
102	116	3
95	113	1
95	114	2
0	95	1
113	116	1
111	116	1
114	116	2
113	114	1
77	114	1
111	114	1
0	114	1
0	113	1
0	77	1
0	111	1
77	113	1
111	113	1
113	117	1
77	111	2
111	117	1
77	117	5
3	121	1
70	102	2
102	124	1
70	124	1
51	117	1
34	117	4
117	119	1
34	102	6
34	51	1
34	77	5
34	119	3
77	102	4
51	77	1
77	119	1
51	102	1
51	119	1
102	119	1
53	102	1
53	70	1
53	77	1
34	53	1
